"code","full_name"
"9838","Empedobacter"
"9839","Erwinia"
"9840","Erysipelothrix"
"9841","Fibrobacter"
"9842","Gemella"
"9843","Globicatella"
"9846","Hallella"
"9849","Johnsonella"
"9850","Kocuria"
"9851","Kurthia"
"9855","Leminorella"
"9857","Leuconostoc"
"9858","Listonella"
"9859","Methylobacterium"
"9860","Mitsuokella"
"9861","Moellerella"
"9863","Nocardiopsis"
"9865","Brucella"
"9866","Oenococcus"
"9867","Oerskovia"
"9868","Oligella"
"9869","Orientia"
"9870","Paenibacillus"
"9871","Pediococcus"
"9872","Photobacterium"
"9876","Psychrobacter"
"9877","Rhodococcus"
"9879","Rikenella"
"9880","Rothia"
"9883","Sebaldella"
"9884","Selenomonas"
"9885","Brachyspira"
"9886","Sphingomonas"
"9889","Streptobacillus"
"9890","Streptomyces"
"9891","Succinivibrio"
"9892","Suttonella"
"9893","Taylorella"
"9896","Tissierella"
"9897","Trabulsiella"
"9898","Tsukamurella"
"9899","Corynebacterium"
"9901","Weeksella"
"9902","Weissella"
"9903","Wolinella"
"9905","Yokenella"
"9906","Coxiella burnetii"
"9999","(nom inconnu)"
"A.ACM","Aggregatibacter actinomycetemcomitans"
"A.ADJ","Granulicatella adiacens"
"A.AMY","Aggregatibacter actinomycetemcomitans"
"A.BAU","Acinetobacter baumannii"
"A.BOV","Actinomyces bovis"
"A.BRA","Acholeplasma brassicae"
"A.CALC","Acinetobacter calcoaceticus"
"A.CAP","Actinobacillus capsulatus"
"A.CAV","Aeromonas caviae"
"A.CLA","Aspergillus caelatus"
"A.CRY","Arcobacter cryaerophilus"
"A.DEF","Abiotrophia defectiva"
"A.DEL","Acidovorax delafieldii"
"A.DEN","Achromobacter denitrificans"
"A.EQU","Actinobacillus equuli equuli"
"A.EQUH","Actinobacillus equuli haemolyticus"
"A.FAC","Acidovorax facilis"
"A.FAE","Alcaligenes faecalis faecalis"
"A.FAS","Aeromicrobium fastidiosum"
"A.FLA","Aspergillus flavus"
"A.FUM","Aspergillus fumigatus"
"A.HAE","Acinetobacter haemolyticus"
"A.HIN","Salmonella enterica arizonae"
"A.HOR","Buchananella hordeovulneris"
"A.HYD","Aeromonas hydrophila hydrophila"
"A.IRA","Saccharomonospora iraqiensis"
"A.ISR","Actinomyces israelii"
"A.JAN","Aeromonas jandaei"
"A.JOH","Acinetobacter johnsonii"
"A.JUN","Acinetobacter junii"
"A.LAT","Actinomadura latina"
"A.LIG","Actinobacillus lignieresii"
"A.LIL","Actinobacillus lignieresii"
"A.LWO","Acinetobacter lwoffii"
"A.MAD","Actinomadura madurae"
"A.MEY","Schaalia meyeri"
"A.MUL","Acidiphilium multivorum"
"A.NAE","Actinomyces naeslundii"
"A.NID","Aspergillus nidulans"
"A.NIG","Aspergillus niger"
"A.NIT","Arcobacter nitrofigilis"
"A.ODL","Schaalia odontolytica"
